name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
thrift,https://github.com/apache/thrift,C++,153,0,469,7,4.8,2,76,98,1.9,5220,0.69959
dealii,https://github.com/dealii/dealii,C++,281,0,268,10,49.9,1,504,592,2.1,187,0.69813
gnuradio,https://github.com/gnuradio/gnuradio,C++,175,0,364,4,12.6,4,287,424,2.3,1706,0.69778
jfx,https://github.com/openjdk/jfx,C++,111,0,185,6,5,62,67,92,6.5,369,0.69689
pdns,https://github.com/PowerDNS/pdns,C++,220,0,261,7,23.9,14,434,717,1,313,0.69645
pybind11,https://github.com/pybind/pybind11,C++,67,0,223,9,6.6,6,235,330,3.8,631,0.69524
json,https://github.com/nlohmann/json,C++,91,0,211,5,9.8,3,68,88,3,9160,0.69472
haiku,https://github.com/haiku/haiku,C++,225,3,337,4,26.8,0,1,1,4,523362,0.69325
terminal,https://github.com/microsoft/terminal,C++,41,0,266,2,18.6,25,962,1413,3.6,861,0.69226
PROJ,https://github.com/OSGeo/PROJ,C++,265,0,117,11,12.3,8,139,154,2.2,919,0.69105
minetest,https://github.com/minetest/minetest,C++,123,0,636,2,14.3,3,351,688,2.9,1157,0.69098
eos,https://github.com/EOSIO/eos,C++,45,1,254,3,14.8,17,352,425,0.6,44593,0.69083
ppsspp,https://github.com/hrydgard/ppsspp,C++,107,0,335,1,33,4,357,680,3.1,3602,0.69072
percona-server,https://github.com/percona/percona-server,C++,248,0,801,5,46.8,49,118,136,0.5,150,0.68911
MPD,https://github.com/MusicPlayerDaemon/MPD,C++,205,1,270,4,17.7,10,64,89,3.6,1989,0.68789
hpx,https://github.com/STEllAR-GROUP/hpx,C++,155,0,181,8,31.2,9,114,177,1.6,443,0.68783
node-sass,https://github.com/sass/node-sass,C++,108,0,209,7,1,4,92,132,1.8,14117,0.68545
realm-core,https://github.com/realm/realm-core,C++,125,0,118,6,21.7,39,264,353,0.9,872,0.68487
wesnoth,https://github.com/wesnoth/wesnoth,C++,210,0,316,1,32.8,18,220,319,3.4,865,0.68451
oiio,https://github.com/OpenImageIO/oiio,C++,154,0,190,7,6.9,22,77,90,2.2,717,0.68444
imgui,https://github.com/ocornut/imgui,C++,78,0,243,5,12.4,5,180,400,2.1,1862,0.68345
SU2,https://github.com/su2code/SU2,C++,91,1,133,5,27.1,8,78,100,2.8,4682,0.6834
trafficserver,https://github.com/apache/trafficserver,C++,136,0,412,6,12.5,16,197,288,1.3,228,0.68283
pwsafe,https://github.com/pwsafe/pwsafe,C++,232,0,102,3,7.1,10,16,21,3.6,29494,0.68233
mfem,https://github.com/mfem/mfem,C++,127,0,118,5,66.2,2,202,324,4,418,0.68203
supercollider,https://github.com/supercollider/supercollider,C++,223,0,287,4,11.2,9,109,185,3.7,489,0.68203
kokkos,https://github.com/kokkos/kokkos,C++,70,0,118,5,35.9,6,252,330,2.5,1306,0.68078
FreeCAD,https://github.com/FreeCAD/FreeCAD,C++,112,0,379,2,78.6,1,486,525,1,3005,0.67989
lmms,https://github.com/LMMS/lmms,C++,186,0,226,3,4.8,2,168,326,3.9,4371,0.67823
Urho3D,https://github.com/urho3d/Urho3D,C++,121,0,183,4,6.1,2,77,83,4.2,5090,0.67735
googletest,https://github.com/google/googletest,C++,152,0,347,3,4.9,1,134,187,1.5,20636,0.67699
Catch2,https://github.com/catchorg/Catch2,C++,123,0,278,5,8,14,102,158,1.6,898,0.67638
libzmq,https://github.com/zeromq/libzmq,C++,139,0,553,6,5.1,1,64,110,1.1,4925,0.67608
crawl,https://github.com/crawl/crawl,C++,175,0,428,4,37.5,2,87,123,0.9,2275,0.67589
cocos2d-x,https://github.com/cocos2d/cocos2d-x,C++,127,2,865,4,0.4,9,16,63,1.3,35865,0.67502
cppcheck,https://github.com/danmar/cppcheck,C++,166,0,379,2,36.3,4,150,157,1.9,1780,0.675
simc,https://github.com/simulationcraft/simc,C++,152,0,355,1,93.2,16,389,421,1,816,0.67452
glslang,https://github.com/KhronosGroup/glslang,C++,98,0,198,4,6.3,6,65,105,2.6,4430,0.67255
mumble,https://github.com/mumble-voip/mumble,C++,186,0,258,3,10.6,4,172,245,3.5,1048,0.67178
vnpy,https://github.com/vnpy/vnpy,C++,71,0,116,5,40,10,105,111,0.9,4053,0.6714
benchmark,https://github.com/google/benchmark,C++,86,0,198,5,1.2,2,26,43,3.1,31017,0.67094
DeepSpeech,https://github.com/mozilla/DeepSpeech,C++,59,0,152,7,13.6,44,141,169,3.1,197,0.6703
botan,https://github.com/randombit/botan,C++,178,0,122,5,10.6,10,155,178,1.6,1882,0.66948
AirSim,https://github.com/microsoft/AirSim,C++,47,0,183,7,5.5,4,171,352,2.1,2990,0.66923
fltk,https://github.com/fltk/fltk,C++,270,0,36,6,7.3,3,23,52,4,19642,0.66856
LightGBM,https://github.com/microsoft/LightGBM,C++,53,0,192,7,9.6,4,290,364,3.3,512,0.6679
stellarium,https://github.com/Stellarium/stellarium,C++,225,0,179,6,18.9,4,183,288,3.4,184,0.66785
MuseScore,https://github.com/musescore/MuseScore,C++,104,0,227,2,40.2,15,755,804,1.4,407,0.66778
gazebo,https://github.com/osrf/gazebo,C++,169,0,163,5,6.5,15,44,99,2.1,1522,0.66774
kakoune,https://github.com/mawww/kakoune,C++,113,0,265,7,11.2,3,154,298,2,378,0.66707
calamares,https://github.com/calamares/calamares,C++,80,0,79,6,35.8,25,64,119,3.1,275,0.66642
openpilot,https://github.com/commaai/openpilot,C++,50,0,123,4,44.4,13,605,708,1.3,777,0.66493
azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,C++,55,0,175,5,19.4,1,511,898,2,1829,0.66458
Magisk,https://github.com/topjohnwu/Magisk,C++,91,0,209,3,17.5,11,386,438,2.8,312,0.66354
open-zwave,https://github.com/OpenZWave/open-zwave,C++,133,0,455,6,9.1,1,94,165,1.6,906,0.66341
domoticz,https://github.com/domoticz/domoticz,C++,75,0,375,1,17.3,2,180,231,4.1,3716,0.66321
brave-core,https://github.com/brave/brave-core,C++,50,0,121,2,108.6,750,812,898,1.1,621,0.66195
flatbuffers,https://github.com/google/flatbuffers,C++,84,0,456,3,5.7,1,269,397,2.9,1617,0.6612
mysql-server,https://github.com/mysql/mysql-server,C++,248,6,582,4,36.8,34,9,11,2.5,1361,0.6611
QuantLib,https://github.com/lballabio/QuantLib,C++,246,0,164,6,9.9,3,69,89,2.5,1210,0.66046
openscad,https://github.com/openscad/openscad,C++,140,0,178,4,8.2,2,113,188,2.9,1982,0.66011
compute-runtime,https://github.com/intel/compute-runtime,C++,39,0,97,3,53.5,51,23,48,2.9,2634,0.65989
opentx,https://github.com/opentx/opentx,C++,113,0,148,3,16.9,6,247,393,2.1,1135,0.6598
mythtv,https://github.com/MythTV/mythtv,C++,227,0,355,2,40,4,42,79,2.1,1366,0.65952
or-tools,https://github.com/google/or-tools,C++,125,0,133,4,19.3,6,1547,1630,0.3,1292,0.65932
deconz-rest-plugin,https://github.com/dresden-elektronik/deconz-rest-plugin,C++,90,0,66,1,24.3,19,754,933,6.6,484,0.65925
graaljs,https://github.com/oracle/graaljs,C++,144,0,3394,8,60.7,3,78,102,2.4,0,0.65909
OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,C++,82,0,428,2,46.9,5,708,990,1.4,276,0.65858
gzdoom,https://github.com/coelckers/gzdoom,C++,181,0,159,2,20.8,8,72,90,1.9,4074,0.65846
PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,C++,110,0,535,5,52.9,6,548,871,1.9,10,0.65817
spdlog,https://github.com/gabime/spdlog,C++,84,0,242,5,7.2,7,91,106,2.1,1055,0.65793
keepassxc,https://github.com/keepassxreboot/keepassxc,C++,126,0,269,3,6.5,7,439,626,2.6,345,0.65745
foundationdb,https://github.com/apple/foundationdb,C++,44,0,157,3,74.4,29,305,441,1,531,0.65724
swig,https://github.com/swig/swig,C++,260,2,275,5,3.7,5,24,70,1.5,16710,0.65711
openthread,https://github.com/openthread/openthread,C++,57,0,136,8,27.4,1,483,538,2.6,321,0.65671
verovio,https://github.com/rism-ch/verovio,C++,85,0,51,5,21.9,11,204,260,2,1332,0.65483
Mudlet,https://github.com/Mudlet/Mudlet,C++,145,0,108,5,14.1,5,441,573,3,217,0.65467
mu,https://github.com/djcb/mu,C++,135,0,196,7,9.2,9,55,98,2.3,238,0.65466
icinga2,https://github.com/Icinga/icinga2,C++,106,0,274,5,7.6,11,375,584,1.1,254,0.65449
stk-code,https://github.com/supertuxkart/stk-code,C++,165,0,195,2,11,3,52,82,2.3,8049,0.65427
yarp,https://github.com/robotology/yarp,C++,180,0,90,9,14.8,5,56,93,2.3,452,0.65383
osquery,https://github.com/osquery/osquery,C++,78,0,363,7,8.2,6,209,383,1,280,0.65318
KeyDB,https://github.com/JohnSully/KeyDB,C++,143,0,480,9,17.9,7,26,53,2.1,39,0.65285
libpqxx,https://github.com/jtv/libpqxx,C++,247,0,48,5,10.4,16,25,27,7.9,443,0.65265
apollo,https://github.com/ApolloAuto/apollo,C++,42,0,337,4,45.6,2,482,697,1.5,427,0.65255
proxy,https://github.com/istio/proxy,C++,49,0,93,5,5.1,51,113,120,1.7,3269,0.65208
libtorrent,https://github.com/arvidn/libtorrent,C++,209,0,105,3,15.8,13,213,289,2.6,494,0.65146
mesos,https://github.com/apache/mesos,C++,118,1,386,6,6.7,27,3,8,1.4,1902,0.65119
ethminer,https://github.com/ethereum-mining/ethminer,C++,85,1,177,6,0.7,10,54,94,2.4,6378,0.65086
omr,https://github.com/eclipse/omr,C++,59,0,197,6,24.4,0,180,258,2.6,952,0.64871
oneflow,https://github.com/Oneflow-Inc/oneflow,C++,47,0,64,7,21.7,21,343,466,0.9,715,0.64854
osgearth,https://github.com/gwaldron/osgearth,C++,150,0,148,3,17.8,2,59,77,1.4,7260,0.64839
ola,https://github.com/OpenLightingProject/ola,C++,187,0,205,4,7.1,1,27,61,3.6,2352,0.64726
CuraEngine,https://github.com/Ultimaker/CuraEngine,C++,97,0,93,5,5.1,11,61,78,1.6,3608,0.64713
HPCC-Platform,https://github.com/hpcc-systems/HPCC-Platform,C++,115,0,104,4,23,91,221,269,3.7,43,0.64658
percona-xtrabackup,https://github.com/percona/percona-xtrabackup,C++,248,0,645,4,40,42,69,83,0.8,35,0.64657
pioneer,https://github.com/pioneerspacesim/pioneer,C++,152,0,147,4,11.7,2,164,212,2.4,1038,0.64631
rippled,https://github.com/ripple/rippled,C++,112,0,104,6,4.9,2,104,210,1.3,4729,0.64601
openFrameworks,https://github.com/openframeworks/openFrameworks,C++,155,1,404,6,0.3,2,19,53,1.2,20611,0.64586
serving,https://github.com/tensorflow/serving,C++,60,0,169,1,17.4,11,100,142,1.8,9844,0.64538
sqlitebrowser,https://github.com/sqlitebrowser/sqlitebrowser,C++,211,0,136,4,6.5,6,85,157,4.8,307,0.64463
qBittorrent,https://github.com/qbittorrent/qBittorrent,C++,173,0,224,1,8.9,14,1859,4097,1,683,0.64455
Clementine,https://github.com/clementine-player/Clementine,C++,134,0,237,4,7.1,137,44,118,1.8,233,0.64303
realsense-ros,https://github.com/IntelRealSense/realsense-ros,C++,59,0,89,9,2,12,236,295,4,201,0.64274
PDAL,https://github.com/PDAL/PDAL,C++,120,0,117,8,5.8,2,65,91,1.6,1612,0.64263
vg,https://github.com/vgteam/vg,C++,76,0,69,6,29.2,11,110,143,1.1,879,0.64168
bgfx,https://github.com/bkaradzic/bgfx,C++,106,0,205,7,12.3,0,73,86,1.5,1723,0.64098
icu,https://github.com/unicode-org/icu,C++,260,2,149,4,9,11,139,176,2.1,1437,0.6399
duckdb,https://github.com/cwida/duckdb,C++,30,0,52,8,54.2,11,262,335,2.3,209,0.63957
shogun,https://github.com/shogun-toolbox/shogun,C++,177,0,248,6,4.1,4,29,60,1.9,804,0.63904
stella,https://github.com/stella-emu/stella,C++,232,0,38,4,17.7,8,46,80,3.9,1238,0.63898
openvino,https://github.com/openvinotoolkit/openvino,C++,27,0,177,6,40.3,7,1358,1613,1.1,118,0.63885
rust-bindgen,https://github.com/rust-lang/rust-bindgen,C++,107,0,269,5,3.2,11,40,85,1.7,568,0.63852
catboost,https://github.com/catboost/catboost,C++,42,0,708,2,92,10,51,142,1.5,146,0.6374
esphome,https://github.com/esphome/esphome,C++,33,0,188,7,7.2,10,106,188,2.4,346,0.63724
OpenStudio,https://github.com/NREL/OpenStudio,C++,91,0,66,4,21.6,3,84,173,1.4,4122,0.6366
Hercules,https://github.com/HerculesWS/Hercules,C++,196,0,249,0,16.4,17,68,106,1.4,11178,0.63622
ardour,https://github.com/Ardour/ardour,C++,190,0,159,4,44.9,7,19,24,1.2,831,0.63603
newsboat,https://github.com/newsboat/newsboat,C++,172,0,184,2,23.2,4,194,255,2.4,473,0.63586
passenger,https://github.com/phusion/passenger,C++,157,1,124,10,2.1,3,24,38,2,3435,0.63582
react-native-windows,https://github.com/microsoft/react-native-windows,C++,61,0,177,1,35.6,208,692,942,1.8,280,0.63579
mangos-wotlk,https://github.com/cmangos/mangos-wotlk,C++,143,0,750,2,31.3,1,13,16,0.4,6081,0.63431
valhalla,https://github.com/valhalla/valhalla,C++,74,0,120,4,7.5,11,119,174,1.7,999,0.63289
qt-creator,https://github.com/qt-creator/qt-creator,C++,147,0,726,4,90.9,9,0,0,0,1891,0.632
icewm,https://github.com/bbidulock/icewm,C++,229,0,144,5,13.7,11,24,44,3.5,123,0.63193
c-ares,https://github.com/c-ares/c-ares,C++,210,0,115,7,1.7,4,28,36,3.2,1134,0.63185
yuzu,https://github.com/yuzu-emu/yuzu,C++,89,0,243,1,43.2,0,399,619,1.6,3181,0.63172
kubernetes,https://github.com/kubernetes/kubernetes,Go,80,0,3689,5,101.6,79,2830,5036,5.7,407553,0.98634
go,https://github.com/golang/go,Go,590,0,1932,2,64.3,6,3116,4698,2.7,121397,0.86586
cockroach,https://github.com/cockroachdb/cockroach,Go,84,0,439,7,135.2,36,3438,4958,2.4,10225,0.85414
origin,https://github.com/openshift/origin,Go,78,0,478,5,14.5,11,328,468,17.5,40255,0.84689
istio,https://github.com/istio/istio,Go,50,0,712,6,69.4,70,2397,3425,2.8,14596,0.84321
charts,https://github.com/helm/charts,Go,63,1,3680,10,43.6,0,774,942,2.1,74194,0.8365
terraform,https://github.com/hashicorp/terraform,Go,83,0,1819,2,35.6,31,1669,2078,2,47173,0.83368
moby,https://github.com/moby/moby,Go,97,0,2186,8,10.8,9,383,816,2.2,13692,0.82339
kops,https://github.com/kubernetes/kops,Go,58,0,780,9,38,33,629,822,3.3,3434,0.81696
go-ethereum,https://github.com/ethereum/go-ethereum,Go,85,0,566,7,13,16,451,638,2.3,57875,0.81608
prometheus,https://github.com/prometheus/prometheus,Go,98,0,608,9,16.1,35,336,534,3.1,7882,0.81433
terraform-provider-azurerm,https://github.com/terraform-providers/terraform-provider-azurerm,Go,75,0,931,4,106.7,48,1534,2217,2,4288,0.81305
cli,https://github.com/docker/cli,Go,96,0,780,10,7.1,17,126,304,1.7,38640,0.80557
cilium,https://github.com/cilium/cilium,Go,61,0,255,8,84.4,41,1209,1617,3,4148,0.80504
storage,https://github.com/containers/storage,Go,97,0,1623,10,6,42,69,87,2.7,4260,0.79194
minikube,https://github.com/kubernetes/minikube,Go,57,0,610,5,78,37,759,1167,3.2,2228,0.79168
packer,https://github.com/hashicorp/packer,Go,94,0,1328,7,40.8,13,600,828,2.2,1198,0.79016
juju,https://github.com/juju/juju,Go,114,0,212,8,63.6,13,451,456,1.8,11833,0.78677
installer,https://github.com/openshift/installer,Go,84,0,355,4,18.7,4,355,483,12.5,7254,0.78283
ingress-nginx,https://github.com/kubernetes/ingress-nginx,Go,59,0,635,10,15.5,72,544,753,3.1,1416,0.78223
cert-manager,https://github.com/jetstack/cert-manager,Go,44,0,264,7,20.8,34,228,352,3.3,22739,0.78066
lxd,https://github.com/lxc/lxd,Go,75,0,255,8,84.8,20,363,393,3.3,2182,0.77913
tidb,https://github.com/pingcap/tidb,Go,65,0,529,2,50.2,34,2240,3019,4.9,1603,0.77208
hugo,https://github.com/gohugoio/hugo,Go,91,0,735,5,12.8,44,364,814,1.1,10843,0.76984
terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,Go,80,0,2067,4,102.9,51,4494,6066,0.9,145,0.76907
dashboard,https://github.com/kubernetes/dashboard,Go,63,0,270,9,12.3,14,181,221,3.5,12866,0.76889
containerd,https://github.com/containerd/containerd,Go,62,0,365,10,14,19,243,352,4,2270,0.76727
cli,https://github.com/cli/cli,Go,15,0,158,5,34.3,48,582,896,1.8,180950,0.76716
beats,https://github.com/elastic/beats,Go,84,0,527,2,42.6,21,3349,3973,1.7,6043,0.76708
helm,https://github.com/helm/helm,Go,64,0,564,7,9.5,38,597,958,2.1,3625,0.76489
serving,https://github.com/knative/serving,Go,35,0,217,6,48.2,26,930,1100,3.6,3428,0.76359
rancher,https://github.com/rancher/rancher,Go,75,0,134,5,27.2,195,4400,5314,0.7,19152,0.76143
test-infra,https://github.com/kubernetes/test-infra,Go,65,0,941,2,86.9,0,997,1294,3.9,16507,0.76084
telegraf,https://github.com/influxdata/telegraf,Go,70,0,887,8,16,29,455,938,1.5,818,0.7557
gitea,https://github.com/go-gitea/gitea,Go,84,0,899,3,40.8,27,12394,12955,0.3,1789,0.75039
consul,https://github.com/hashicorp/consul,Go,87,0,738,3,44.9,31,598,864,1.2,2285,0.74732
cosmos-sdk,https://github.com/cosmos/cosmos-sdk,Go,59,0,211,8,31.9,26,736,997,2.4,1179,0.74658
tendermint,https://github.com/tendermint/tendermint,Go,81,0,235,8,16.6,18,450,644,1.7,4111,0.74648
docker-ce,https://github.com/docker/docker-ce,Go,97,0,2603,9,19.7,13,10,11,1,2720,0.74636
influxdb,https://github.com/influxdata/influxdb,Go,94,0,520,5,42,28,674,1089,0.9,1378,0.74546
runc,https://github.com/opencontainers/runc,Go,83,0,340,8,10.4,4,133,180,2.8,12764,0.74367
google-cloud-go,https://github.com/googleapis/google-cloud-go,Go,81,0,229,5,19.6,90,542,654,5,807,0.74092
syncthing,https://github.com/syncthing/syncthing,Go,86,0,252,5,11.4,58,443,490,1.5,9320,0.73968
kubectl,https://github.com/kubernetes/kubectl,Go,45,0,215,7,7.5,101,65,131,3.1,14267,0.73375
jx,https://github.com/jenkins-x/jx,Go,36,0,213,5,10.3,325,227,337,2.6,17859,0.73245
fabric,https://github.com/hyperledger/fabric,Go,56,0,345,4,22.7,12,351,361,1.1,21974,0.73127
nomad,https://github.com/hashicorp/nomad,Go,68,0,493,3,52.6,38,701,981,1.4,1342,0.729
autoscaler,https://github.com/kubernetes/autoscaler,Go,64,0,367,4,12.4,40,257,430,3.1,2497,0.72799
aws-sdk-go,https://github.com/aws/aws-sdk-go,Go,74,0,255,6,6.6,226,129,191,0.9,26807,0.72792
rook,https://github.com/rook/rook,Go,54,0,339,7,22,34,558,760,1.8,854,0.72782
etcd,https://github.com/etcd-io/etcd,Go,92,0,696,4,9.3,21,274,505,1.7,1957,0.72574
cli,https://github.com/cloudfoundry/cli,Go,89,0,470,6,22.3,13,62,105,2.4,1915,0.72487
cadvisor,https://github.com/google/cadvisor,Go,80,0,282,8,5.1,13,65,127,2.8,5735,0.72373
syzkaller,https://github.com/google/syzkaller,Go,63,0,167,6,26.5,0,228,263,2.1,86121,0.72328
podman,https://github.com/containers/podman,Go,38,0,256,3,46.4,35,1119,1362,5.6,432,0.72297
terratest,https://github.com/gruntwork-io/terratest,Go,58,0,136,8,14.9,73,101,153,2.6,4829,0.72285
cloud-provider-openstack,https://github.com/kubernetes/cloud-provider-openstack,Go,65,0,269,8,4,10,114,172,10.4,526,0.71944
seaweedfs,https://github.com/chrislusf/seaweedfs,Go,110,0,140,6,33.7,66,208,233,3,759,0.71927
mattermost-server,https://github.com/mattermost/mattermost-server,Go,67,0,592,2,23.2,44,1011,1391,3,598,0.71816
snapd,https://github.com/snapcore/snapd,Go,74,0,197,5,112.2,19,414,467,0.9,1487,0.71623
minio,https://github.com/minio/minio,Go,75,0,290,2,26.2,85,616,645,2.7,1989,0.71272
sourcegraph,https://github.com/sourcegraph/sourcegraph,Go,65,0,162,2,105.7,57,2485,3417,1.6,1118,0.71236
kubevirt,https://github.com/kubevirt/kubevirt,Go,53,0,194,3,33.1,51,584,815,6.3,357,0.71056
cluster-api,https://github.com/kubernetes-sigs/cluster-api,Go,58,0,301,4,23.4,27,353,579,5.1,242,0.70967
traefik,https://github.com/traefik/traefik,Go,65,0,608,7,8.1,42,411,598,1.7,297,0.70841
client-go,https://github.com/kubernetes/client-go,Go,53,0,395,6,6.8,144,48,102,1.8,5192,0.70834
goreleaser,https://github.com/goreleaser/goreleaser,Go,49,0,197,8,8.8,35,1832,1866,1.2,957,0.70801
cri-o,https://github.com/cri-o/cri-o,Go,52,0,180,5,16.3,24,220,299,7.2,319,0.70429
